anonymous_user_id,role_category_x,device_type_x,auth_method,location_type,campus_zone,network_type,service_accessed,success,failure_reason,session_duration,academic_period_x,client_browser,client_os,role_category_y,device_type_y,academic_period_y,avg_key_dwell_time,avg_digraph_time,keystroke_rhythm_variance,typing_speed,pause_frequency,flight_time_consistency,avg_movement_speed,avg_click_duration,direction_change_frequency,curvature_metric
user_e019ea6f2ce5,admin,desktop,3,1,2,0,3,True,,64,holiday,1,0,admin,laptop,holiday,84.6,199.74,23.45,60.45,0.115,0.84,394.09,172.12,0.252,0.598
user_2812389423c0,admin,mobile,1,0,4,0,2,True,,64,regular_term,0,1,undergraduate,mobile,regular_term,97.51,200.41,43.04,48.92,0.25,0.888,572.22,162.33,0.3,0.299
user_6f183c5a15f3,faculty,desktop,1,1,3,1,1,True,,80,exam,1,0,research,mobile,exam,112.89,218.61,35.97,56.59,0.209,0.831,332.87,130.2,0.34,0.472
user_2a1c2df08735,graduate,desktop,1,0,1,1,1,True,,39,exam,1,1,research,laptop,exam,117.99,171.23,37.39,80.36,0.159,0.868,424.28,132.16,0.12,0.215
user_d9dcae419d97,research,desktop,3,1,0,0,1,True,,81,holiday,2,2,research,mobile,holiday,84.66,167.32,29.87,88.52,0.132,0.816,563.95,129.85,0.392,0.476
user_497a5e97844a,research,desktop,0,0,4,1,3,True,,19,exam,2,2,research,tablet,exam,95.92,233.18,41.66,73.87,0.056,0.938,593.27,130.69,0.337,0.247
user_72132a41af77,graduate,tablet,0,1,1,2,0,False,,115,holiday,0,2,graduate,desktop,holiday,118.13,154.3,27.78,78.53,0.095,0.828,395.23,129.38,0.353,0.406
user_518fc8b3768a,graduate,laptop,0,1,3,2,2,True,,26,exam,0,0,graduate,desktop,exam,103.94,225.21,38.27,52.13,0.21,0.765,303.04,144.16,0.25,0.513
user_314b675eac38,research,desktop,1,0,4,2,1,True,,21,holiday,1,1,graduate,desktop,holiday,95.95,158.08,43.14,69.13,0.255,0.939,578.12,114.1,0.193,0.316
user_5dae55bf2517,admin,mobile,1,0,0,2,0,False,,82,regular_term,2,2,faculty,tablet,regular_term,94.61,155.0,24.88,69.76,0.201,0.931,528.13,159.7,0.399,0.319
user_ddf6320af9a4,graduate,desktop,2,0,3,1,1,False,,23,exam,1,2,undergraduate,desktop,exam,99.51,157.71,32.22,89.46,0.218,0.71,371.54,167.39,0.316,0.517
user_79f7731d0699,admin,tablet,2,1,0,1,0,True,,86,regular_term,2,1,graduate,mobile,regular_term,101.51,174.61,41.24,64.96,0.204,0.703,408.93,120.69,0.346,0.358
user_3dc3ffdfd7d8,faculty,mobile,0,1,3,1,0,True,,92,exam,0,1,faculty,desktop,exam,85.63,232.64,35.2,48.87,0.232,0.782,423.83,179.47,0.385,0.265
user_ea4dcc3dda11,admin,mobile,2,0,1,0,1,True,,67,exam,0,2,undergraduate,tablet,exam,119.01,218.01,47.72,60.77,0.296,0.725,384.1,102.75,0.107,0.435
user_7712c4aa2bc8,faculty,mobile,0,1,0,0,2,True,,58,exam,2,2,research,desktop,exam,90.36,219.43,44.94,49.68,0.21,0.722,372.48,141.83,0.176,0.326
user_5973cf7c00b2,research,desktop,3,0,0,2,3,True,,16,holiday,1,2,admin,laptop,holiday,117.01,229.72,49.93,65.95,0.257,0.735,390.77,145.97,0.283,0.573
user_8ec66cb2e98f,faculty,tablet,0,1,2,0,3,True,,70,regular_term,0,0,graduate,desktop,regular_term,114.43,165.92,27.86,87.27,0.158,0.856,504.99,120.51,0.222,0.237
user_1acf2d018429,faculty,tablet,3,0,3,2,1,False,,119,regular_term,2,1,graduate,laptop,regular_term,102.39,150.02,28.18,67.61,0.076,0.75,351.19,144.28,0.283,0.551
user_41720e6fd9fb,faculty,laptop,0,1,2,2,2,True,,78,holiday,2,0,faculty,tablet,holiday,94.48,168.09,22.84,54.61,0.134,0.768,519.67,163.54,0.375,0.565
user_f642fd67ce95,graduate,desktop,0,1,0,0,1,False,,55,exam,1,2,faculty,laptop,exam,116.1,233.04,52.03,66.92,0.211,0.796,423.03,121.03,0.177,0.364
user_719a9014e006,faculty,laptop,1,0,3,1,2,True,,51,regular_term,2,2,admin,laptop,regular_term,83.33,233.38,51.55,81.12,0.158,0.798,490.82,119.18,0.214,0.308
user_ecaf84d2574b,undergraduate,tablet,1,1,2,2,1,True,,92,holiday,0,1,graduate,laptop,holiday,108.08,215.22,27.27,63.19,0.159,0.827,483.76,133.94,0.137,0.271
user_cca431ec23a4,admin,tablet,1,0,0,1,1,True,,88,exam,0,2,admin,laptop,exam,87.88,209.44,55.52,78.52,0.284,0.796,440.91,177.53,0.38,0.591
user_f17652408f84,research,desktop,2,0,1,1,3,True,,91,regular_term,2,2,admin,desktop,regular_term,93.8,209.53,52.9,47.56,0.176,0.777,433.43,174.67,0.396,0.412
user_5df8aa70a0ac,graduate,desktop,3,1,1,0,2,True,,96,exam,0,1,faculty,desktop,exam,108.0,222.07,50.69,44.74,0.281,0.915,476.17,157.48,0.122,0.54
user_a47ba141612e,graduate,laptop,2,1,3,2,0,True,,81,holiday,2,1,faculty,mobile,holiday,93.18,196.76,58.56,63.82,0.276,0.946,397.36,117.12,0.324,0.432
user_6483705e4a7f,graduate,mobile,1,0,0,0,3,True,,63,holiday,0,1,graduate,tablet,holiday,105.02,241.56,49.44,88.48,0.174,0.757,597.4,131.26,0.156,0.427
user_a2d89fe7b3ec,graduate,desktop,3,1,1,1,1,True,,114,holiday,1,0,graduate,mobile,holiday,118.04,204.62,48.46,48.4,0.141,0.931,490.39,100.19,0.157,0.527
user_c136d5a1a0bd,faculty,mobile,0,0,1,1,2,True,,113,regular_term,2,2,research,desktop,regular_term,115.53,228.58,38.29,80.99,0.136,0.783,386.09,102.19,0.321,0.219
user_5e2ca7147b24,admin,tablet,3,1,1,1,3,True,,56,regular_term,0,1,research,laptop,regular_term,113.7,188.87,50.0,59.43,0.105,0.867,513.5,127.81,0.303,0.234
user_68a3a75365c3,faculty,tablet,1,1,3,0,3,True,,94,exam,0,0,research,tablet,exam,86.13,247.38,54.34,53.56,0.227,0.71,561.73,151.68,0.333,0.578
user_fab987bab615,faculty,tablet,0,0,1,0,2,False,,49,regular_term,0,1,graduate,laptop,regular_term,80.71,162.29,47.5,80.43,0.205,0.756,515.46,141.4,0.18,0.597
user_c7b09a0ed617,admin,laptop,1,0,1,0,1,True,,106,exam,2,1,faculty,tablet,exam,104.04,234.72,27.58,41.49,0.257,0.771,581.68,116.4,0.152,0.31
user_c45100077750,research,laptop,1,1,1,0,0,True,,54,holiday,1,0,graduate,laptop,holiday,115.08,196.36,30.86,57.84,0.175,0.817,528.13,122.39,0.191,0.293
user_96310ebdf0f0,research,mobile,1,0,0,0,2,True,,88,regular_term,0,1,faculty,mobile,regular_term,91.11,193.46,46.21,53.65,0.111,0.774,443.24,160.81,0.161,0.481
user_83df0487ba0a,research,mobile,0,1,3,1,3,True,,88,exam,2,1,faculty,laptop,exam,110.51,234.65,48.32,89.71,0.152,0.738,552.45,170.62,0.244,0.254
user_a88260a0909c,undergraduate,tablet,3,0,3,2,1,True,,101,regular_term,2,0,undergraduate,laptop,regular_term,102.1,180.7,40.35,62.41,0.297,0.776,468.78,177.7,0.372,0.369
user_0afc1ba22ace,faculty,desktop,2,0,0,2,0,True,,83,exam,0,1,faculty,tablet,exam,97.55,199.42,40.56,71.84,0.178,0.791,318.62,163.46,0.346,0.359
user_5c45ee91247c,admin,laptop,3,1,2,0,2,True,,35,holiday,1,1,graduate,laptop,holiday,94.0,248.49,46.44,62.68,0.117,0.886,511.82,175.22,0.149,0.435
user_27a264482bb2,undergraduate,tablet,2,1,0,2,2,True,,93,holiday,2,2,faculty,laptop,holiday,96.02,184.14,53.86,83.45,0.062,0.944,346.0,114.88,0.322,0.349
user_92ff235588e5,graduate,desktop,3,1,0,2,1,True,,70,regular_term,0,2,graduate,mobile,regular_term,100.23,186.62,56.49,88.68,0.208,0.815,411.85,156.44,0.199,0.322
user_7e8299fef4b7,faculty,mobile,1,0,2,0,2,True,,84,exam,0,0,undergraduate,tablet,exam,85.74,236.13,53.35,50.46,0.143,0.826,355.21,154.88,0.168,0.432
user_9c71d97b69f7,research,laptop,0,0,1,1,3,True,,111,holiday,1,0,research,desktop,holiday,94.5,225.46,42.18,68.88,0.159,0.93,459.78,110.25,0.386,0.53
user_f797b3fa505c,faculty,mobile,3,1,3,2,0,True,,11,regular_term,1,1,undergraduate,tablet,regular_term,105.55,208.72,38.02,43.48,0.225,0.769,598.99,133.49,0.127,0.554
user_54ce683c0aba,research,mobile,3,1,3,0,0,False,,105,holiday,1,2,undergraduate,tablet,holiday,105.45,225.78,36.55,67.01,0.166,0.858,365.34,110.47,0.215,0.265
user_e15c86d85695,undergraduate,tablet,0,1,4,2,3,True,,27,regular_term,0,0,admin,tablet,regular_term,100.31,170.25,44.65,83.94,0.241,0.839,341.64,120.92,0.167,0.26
user_15a2ef488e25,graduate,desktop,2,0,0,2,1,True,,91,regular_term,0,1,graduate,mobile,regular_term,80.92,221.81,29.52,81.5,0.128,0.874,382.64,101.53,0.29,0.368
user_52f4aa4887c3,admin,laptop,2,1,3,1,3,True,,102,regular_term,0,0,faculty,laptop,regular_term,107.24,189.88,24.97,47.77,0.169,0.813,537.1,118.76,0.236,0.478
user_21f7eade9db0,graduate,desktop,0,0,4,2,0,True,,48,holiday,1,0,graduate,tablet,holiday,85.37,215.38,36.58,83.28,0.294,0.701,581.04,107.33,0.222,0.418
user_ac12ff2643f6,research,laptop,1,1,1,0,1,True,,56,exam,0,0,undergraduate,desktop,exam,93.21,191.97,44.7,68.54,0.258,0.723,415.36,122.98,0.311,0.402
user_3207b20cf73e,graduate,laptop,2,0,0,1,3,False,,81,regular_term,2,2,graduate,laptop,regular_term,95.01,231.47,39.35,60.79,0.108,0.807,429.41,121.49,0.241,0.236
user_cf05df7b1088,faculty,laptop,2,0,4,2,0,True,,92,regular_term,0,2,admin,mobile,regular_term,95.13,219.26,32.23,89.87,0.059,0.863,320.09,101.25,0.134,0.262
user_bb40eae0a082,graduate,laptop,3,0,4,0,3,True,,41,holiday,0,0,graduate,mobile,holiday,93.5,173.06,53.85,40.76,0.168,0.789,350.81,136.79,0.245,0.55
user_5ac3f5b24158,undergraduate,laptop,2,1,0,2,1,True,,54,exam,2,0,faculty,desktop,exam,85.72,157.66,47.43,78.3,0.079,0.78,473.68,130.49,0.202,0.577
user_cf78eacc70fb,undergraduate,desktop,1,1,3,2,3,True,,66,exam,2,0,graduate,tablet,exam,99.26,160.35,47.15,89.9,0.261,0.937,354.21,121.95,0.298,0.546
user_1ac854f393d6,faculty,mobile,0,0,1,2,1,True,,80,exam,1,2,faculty,laptop,exam,96.15,231.25,52.49,54.21,0.179,0.739,460.07,150.05,0.353,0.231
user_81041c1fa840,faculty,desktop,3,0,3,2,0,True,,71,holiday,0,0,faculty,mobile,holiday,112.2,234.18,54.9,89.67,0.255,0.943,575.43,102.77,0.356,0.471
user_608948c70e35,graduate,tablet,0,0,2,1,2,False,,98,regular_term,0,1,admin,laptop,regular_term,97.42,187.12,26.79,58.29,0.278,0.854,327.26,150.12,0.397,0.324
user_593967d75bd3,graduate,tablet,3,0,1,0,1,True,,104,holiday,2,2,graduate,mobile,holiday,82.82,248.78,51.09,48.55,0.22,0.926,348.47,102.09,0.383,0.258
user_2cccc1e49845,research,desktop,3,1,2,0,2,True,,54,regular_term,1,1,undergraduate,desktop,regular_term,94.58,156.96,20.44,67.95,0.071,0.928,300.11,103.06,0.111,0.533
user_a0e30a93e94e,faculty,desktop,2,1,3,1,1,True,,111,holiday,1,2,undergraduate,tablet,holiday,84.63,217.15,49.77,60.46,0.268,0.892,358.19,147.13,0.309,0.455
user_8e7b398c7510,faculty,mobile,1,1,1,2,3,True,,27,holiday,0,2,research,desktop,holiday,109.08,239.22,26.15,64.54,0.119,0.772,528.13,131.85,0.338,0.228
user_b254467fa2fb,faculty,laptop,1,0,0,0,2,True,,98,holiday,2,2,faculty,desktop,holiday,92.05,184.39,46.31,69.21,0.217,0.879,541.23,140.53,0.247,0.435
user_232ac5e69357,undergraduate,mobile,2,0,1,0,1,True,,45,exam,0,0,admin,desktop,exam,82.02,163.59,55.47,77.26,0.278,0.87,375.41,109.59,0.209,0.545
user_95b4fde5ebd5,faculty,desktop,1,1,0,2,2,True,,51,exam,2,1,faculty,mobile,exam,87.84,223.73,52.36,74.53,0.217,0.855,502.07,121.01,0.244,0.224
user_e5e69005fe04,graduate,desktop,0,1,3,1,3,True,,80,holiday,0,1,undergraduate,laptop,holiday,112.93,168.76,23.99,40.28,0.12,0.758,433.84,169.24,0.175,0.555
user_3e3ec62e0292,research,desktop,0,0,4,2,3,True,,93,holiday,2,2,graduate,desktop,holiday,97.82,182.79,32.6,89.24,0.097,0.883,322.87,142.34,0.205,0.429
user_c143151e78e8,faculty,tablet,2,0,3,1,1,True,,62,regular_term,0,2,undergraduate,laptop,regular_term,105.75,247.25,38.4,46.24,0.296,0.923,593.12,127.49,0.215,0.281
user_6d6ff55f78af,undergraduate,tablet,1,0,4,0,0,True,,67,exam,0,1,research,desktop,exam,107.28,238.26,45.63,89.63,0.261,0.872,577.75,125.05,0.187,0.344
user_42e14253ad5b,faculty,mobile,1,1,3,1,1,True,,103,exam,1,1,faculty,desktop,exam,82.2,171.13,37.35,85.36,0.182,0.824,415.82,147.14,0.198,0.53
user_108cfb463deb,faculty,laptop,0,1,1,1,2,True,,35,exam,1,0,admin,mobile,exam,90.45,241.53,28.7,44.59,0.083,0.839,353.49,101.76,0.149,0.285
user_acb5938eadf4,admin,mobile,2,0,2,1,0,True,,90,regular_term,0,2,research,desktop,regular_term,97.53,161.01,37.74,76.17,0.108,0.9,403.81,123.42,0.301,0.235
user_53b99b98a26c,admin,laptop,2,1,2,2,2,True,,32,exam,1,2,research,mobile,exam,85.34,154.36,32.49,45.45,0.166,0.934,453.03,112.56,0.213,0.223
user_6adf04e7423a,undergraduate,tablet,0,0,4,1,3,True,,106,regular_term,0,0,research,tablet,regular_term,106.31,176.81,33.62,79.24,0.149,0.807,447.31,136.61,0.193,0.535
user_68cccf2e0ae1,research,desktop,1,1,0,2,1,True,,57,holiday,2,0,research,tablet,holiday,119.76,234.32,28.79,64.91,0.216,0.93,471.46,139.15,0.211,0.345
user_3bb31ab3b43a,faculty,tablet,2,0,4,0,3,False,,13,exam,2,1,graduate,desktop,exam,85.82,174.66,48.96,64.99,0.129,0.756,365.79,179.55,0.168,0.376
user_3b7d1ab406f7,graduate,mobile,0,0,3,1,0,True,,59,holiday,2,0,faculty,laptop,holiday,87.05,180.25,55.0,45.96,0.195,0.881,354.75,143.86,0.393,0.435
user_98c8098c4172,admin,tablet,2,0,3,2,2,True,,93,regular_term,0,0,graduate,tablet,regular_term,110.6,163.41,39.69,59.57,0.21,0.719,396.01,153.28,0.18,0.268
user_c6dbc2889b40,graduate,laptop,1,0,2,0,3,False,,48,exam,1,1,research,tablet,exam,83.66,243.14,49.3,55.57,0.279,0.776,500.43,143.28,0.353,0.499
user_dea3e8e6b2b4,faculty,laptop,3,1,4,0,1,True,,77,exam,1,2,undergraduate,tablet,exam,93.09,230.96,58.88,82.22,0.183,0.916,420.43,140.26,0.35,0.485
user_ab069fb6cdcd,admin,tablet,3,0,3,2,2,False,,51,holiday,2,1,graduate,desktop,holiday,99.93,222.49,41.9,88.14,0.266,0.926,428.71,119.15,0.31,0.378
user_518d4d226a5f,admin,desktop,1,0,0,0,1,True,,95,exam,1,1,faculty,laptop,exam,112.87,183.13,54.32,49.61,0.148,0.709,498.2,148.76,0.202,0.403
user_e014e58e8085,research,tablet,1,1,0,0,3,True,,42,holiday,1,1,research,tablet,holiday,100.24,173.77,57.48,55.59,0.077,0.841,458.93,108.66,0.182,0.366
user_833f6997a489,faculty,laptop,0,1,1,0,0,True,,57,regular_term,0,2,undergraduate,desktop,regular_term,108.18,185.04,48.42,81.57,0.211,0.923,326.27,134.1,0.357,0.557
user_18b28a5b2dcd,research,tablet,2,0,0,0,1,True,,72,exam,1,2,faculty,mobile,exam,103.74,211.79,22.53,75.12,0.15,0.703,547.6,155.89,0.213,0.212
user_53811f616b09,faculty,desktop,0,0,3,0,0,True,,15,exam,2,2,research,laptop,exam,117.98,156.42,29.36,67.41,0.135,0.906,463.62,132.23,0.293,0.256
user_38e9c1df57d7,graduate,laptop,1,1,0,2,0,True,,110,regular_term,0,0,graduate,mobile,regular_term,95.64,226.41,28.59,58.59,0.242,0.828,379.95,162.74,0.258,0.23
user_4e731fa6b6e0,graduate,laptop,1,0,1,0,3,True,,38,holiday,1,1,undergraduate,laptop,holiday,106.73,155.93,44.45,87.33,0.204,0.771,305.14,144.06,0.354,0.23
user_450878af8faf,research,desktop,0,1,2,1,1,True,,91,exam,1,0,admin,tablet,exam,81.91,227.57,42.76,88.16,0.243,0.859,372.31,125.8,0.369,0.276
user_e2f5f7ff3095,admin,laptop,3,0,2,0,3,True,,77,holiday,0,2,research,mobile,holiday,85.56,225.25,25.45,66.72,0.135,0.752,487.48,126.67,0.335,0.306
user_af318a6ad1d7,research,tablet,0,1,2,2,0,True,,49,regular_term,0,2,graduate,desktop,regular_term,83.71,186.66,49.32,63.44,0.247,0.937,457.66,178.99,0.227,0.599
user_65cbe79d5cd3,undergraduate,mobile,3,1,3,0,2,True,,96,holiday,1,0,admin,tablet,holiday,113.39,219.22,52.18,57.37,0.063,0.917,323.11,104.9,0.316,0.472
user_b5e2f58992a9,graduate,desktop,3,0,4,0,0,True,,25,regular_term,1,0,faculty,mobile,regular_term,81.41,160.89,46.94,78.09,0.241,0.764,422.35,123.99,0.346,0.515
user_8167df723a34,admin,tablet,1,1,1,0,1,True,,58,regular_term,2,0,graduate,desktop,regular_term,101.16,236.67,40.68,86.54,0.173,0.824,432.88,144.31,0.266,0.322
user_ba7e22c2696f,graduate,mobile,3,1,3,2,0,True,,67,regular_term,0,0,graduate,desktop,regular_term,111.04,175.22,52.48,46.41,0.202,0.858,568.1,166.99,0.197,0.577
user_55854fea02ff,admin,tablet,1,1,2,1,2,True,,14,holiday,2,0,admin,mobile,holiday,104.74,244.37,47.39,85.95,0.072,0.712,576.17,160.49,0.335,0.577
user_7872ea8b5d81,graduate,tablet,3,0,3,1,3,True,,46,exam,2,1,graduate,mobile,exam,112.46,157.52,58.55,80.93,0.092,0.916,309.83,136.36,0.315,0.397
user_47209a43d36f,undergraduate,desktop,0,0,2,1,0,True,,47,exam,2,1,admin,desktop,exam,113.66,196.52,45.34,51.92,0.115,0.778,498.88,110.52,0.342,0.505
user_6cc4da3354b8,research,laptop,0,1,0,0,3,True,,57,holiday,0,1,admin,mobile,holiday,101.9,155.09,53.46,54.46,0.203,0.753,466.18,176.96,0.309,0.357
user_b8e7ac826bbc,faculty,desktop,0,1,1,1,2,True,,114,regular_term,1,2,graduate,desktop,regular_term,99.44,163.83,47.44,67.21,0.084,0.942,420.67,162.54,0.228,0.342
user_bc28b0d2955d,undergraduate,tablet,3,1,2,1,2,True,,65,regular_term,0,2,undergraduate,desktop,regular_term,92.13,185.99,40.69,46.1,0.279,0.921,490.57,105.28,0.156,0.474
user_ccf75c60dbaf,admin,tablet,1,1,0,2,1,True,,5,holiday,0,0,research,desktop,holiday,107.36,241.31,43.27,65.85,0.085,0.778,548.71,153.89,0.157,0.487
user_89106bea6541,admin,mobile,0,0,2,2,0,True,,64,holiday,1,0,graduate,laptop,holiday,94.12,207.87,31.14,53.78,0.259,0.707,464.88,116.87,0.196,0.522
user_27d3a05f9dc5,graduate,laptop,2,1,4,1,3,True,,20,exam,1,2,faculty,tablet,exam,118.75,157.79,31.92,48.16,0.084,0.753,525.7,175.1,0.113,0.286
user_ade22e61a71d,undergraduate,desktop,1,0,1,0,0,True,,81,regular_term,0,0,admin,laptop,regular_term,111.35,174.96,24.0,73.02,0.079,0.748,405.3,139.76,0.239,0.263
user_b9be5bd007d2,graduate,tablet,2,0,0,2,0,True,,21,holiday,2,2,undergraduate,desktop,holiday,87.62,167.81,33.86,57.04,0.063,0.95,396.67,143.56,0.245,0.331
user_f96f8615bfd1,research,laptop,3,1,3,1,2,True,,119,regular_term,1,1,undergraduate,laptop,regular_term,84.95,162.73,32.2,41.43,0.222,0.769,516.75,158.12,0.321,0.348
user_7cbe2fee1b34,admin,laptop,0,0,0,0,1,True,,104,exam,0,2,admin,laptop,exam,109.6,187.03,58.66,75.8,0.064,0.935,470.64,135.6,0.326,0.324
user_4825e1e0d810,admin,tablet,1,0,2,2,2,True,,39,holiday,1,1,graduate,laptop,holiday,110.85,211.08,29.71,41.63,0.281,0.8,385.92,110.68,0.306,0.48
user_2820ae946e8b,faculty,mobile,2,0,0,2,2,True,,26,exam,2,2,admin,mobile,exam,109.05,198.36,44.32,42.17,0.207,0.774,426.47,161.8,0.358,0.316
user_db053c1a69ca,undergraduate,mobile,1,0,0,0,1,True,,24,exam,2,2,undergraduate,mobile,exam,112.81,186.96,24.47,56.38,0.163,0.925,453.65,163.15,0.319,0.407
user_b8b8e73e5a10,research,laptop,2,0,3,1,1,True,,96,regular_term,0,0,research,mobile,regular_term,80.2,181.56,48.84,59.59,0.172,0.812,550.52,103.05,0.224,0.269
user_7d1336d198e3,admin,laptop,1,0,1,0,1,False,,85,holiday,0,2,graduate,mobile,holiday,102.09,214.0,55.27,54.75,0.286,0.915,331.07,128.02,0.23,0.384
user_9273c82c3807,admin,tablet,3,1,4,0,2,True,,13,exam,1,2,graduate,mobile,exam,112.11,169.77,48.06,77.82,0.11,0.715,594.33,131.5,0.129,0.279
user_149499b23862,research,desktop,3,0,3,0,2,True,,46,regular_term,0,1,faculty,desktop,regular_term,115.77,195.37,21.16,77.47,0.076,0.832,501.11,105.42,0.141,0.275
user_e8c846ae9334,graduate,tablet,0,1,2,0,2,True,,51,exam,0,0,research,tablet,exam,117.72,166.86,27.63,52.0,0.219,0.743,511.4,153.08,0.237,0.561
user_c9d9f7f93915,graduate,desktop,3,0,0,0,1,True,,46,holiday,2,0,research,laptop,holiday,85.71,227.64,49.08,77.21,0.163,0.776,496.35,150.0,0.326,0.322
user_2dd1da63c282,research,laptop,2,1,2,2,3,True,,47,holiday,2,1,admin,desktop,holiday,107.51,165.89,45.32,58.32,0.107,0.821,343.91,142.55,0.305,0.202
user_f4c97cdf21bd,undergraduate,desktop,0,1,4,0,1,True,,10,regular_term,1,1,undergraduate,tablet,regular_term,102.93,171.45,54.58,70.48,0.051,0.94,433.36,144.5,0.237,0.528
user_ffec073cf31c,admin,desktop,0,1,0,2,3,True,,98,regular_term,1,0,research,mobile,regular_term,109.06,157.89,56.64,78.59,0.281,0.734,512.02,125.43,0.261,0.597
user_cf0ea374b8e6,graduate,mobile,3,1,1,2,0,True,,30,holiday,1,2,research,desktop,holiday,103.06,166.72,34.87,52.64,0.205,0.875,573.15,160.24,0.244,0.511
user_ff24b4b85b64,research,mobile,1,0,2,2,3,True,,70,regular_term,0,0,faculty,mobile,regular_term,102.99,223.47,30.01,72.13,0.262,0.823,401.57,151.37,0.17,0.399
user_d0191e6fa0f9,research,desktop,0,0,2,1,1,True,,74,exam,0,1,graduate,mobile,exam,112.98,211.02,48.22,55.56,0.073,0.729,511.13,149.13,0.312,0.557
user_23b54e8a0d50,graduate,mobile,2,0,3,2,2,True,,90,regular_term,0,1,faculty,mobile,regular_term,117.4,211.53,39.49,67.35,0.193,0.927,530.91,134.73,0.215,0.311
user_52ddad0a55f2,admin,tablet,0,0,1,2,3,True,,53,regular_term,2,0,faculty,tablet,regular_term,107.56,219.91,21.14,75.26,0.216,0.872,354.9,126.75,0.373,0.26
